Id,Recipe_URLName,Recipe_Name,Ingredients,Instruction,Image,Description,Instruction,Rating,Context
1,Freezable-soup-recipes,Freezable Soup Recipe,"[""2 tbsp olive oil"", ""1 tsp coriander seeds"", ""1 tsp cumin seeds, plus extra to garnish"", ""½ tsp ground turmeric"", ""½ tsp mustard seeds"", ""1 large onion, cut into 8 chunks"", ""2 garlic cloves"", ""675g parsnips, diced"", ""2 plum tomatoes, quartered"", ""1.2l vegetable stock"", ""1 tbsp lemon juice""]","[""STEP 1: Heat oven to 220C/fan 200C/gas 7."", ""STEP 2: In a bowl, mix together 2 tbsp olive oil and 1 tsp coriander seeds, 1 tsp cumin seeds, ½ tsp ground turmeric and ½ tsp mustard seeds."", ""STEP 3: Add 1 large onion, cut into 8 chunks, 2 garlic cloves, 675g parsnips, diced, and 2 quartered plum tomatoes and mix well."", ""STEP 4: Spread over a heavy baking sheet, then roast for 30 mins until tender."", ""STEP 5: Spoon into a food processor or liquidiser with 600ml vegetable stock and process until smooth."", ""STEP 6: Pour into a pan with the remaining 600ml vegetable stock, season, then heat until barely simmering."", ""STEP 7: Remove from the heat and stir in 1 tbsp lemon juice. Garnish with cumin seeds.""]","https://images.immediate.co.uk/production/volatile/sites/30/2010/12/Spicy-roasted-parsnip-soup-abc72fe.jpg?quality=90&webp=true&resize=600,545","Batch cook a wholesome, nourishing soup recipe to stash in the freezer ready to defrost for lunch or dinner. Our recipe ideas include veggie, vegan, blended and chunky soups.",,,
2,Low-carb-slow-cooker,Low Carb Slow Cooker,"[""2 garlic cloves"", ""thumb-sized piece ginger, peeled"", ""2 large onions, finely chopped"", ""2 tbsp vegetable oil"", ""6 skinless chicken breasts, cut into large chunks"", ""2 tbsp tomato purée"", ""1 tsp ground cumin"", ""1 tsp paprika"", ""1 tsp turmeric"", ""1 tsp ground coriander"", ""¼-½ tsp chilli powder"", ""2 tsp sugar"", ""300ml chicken stock"", ""150ml double cream"", ""6 tbsp ground almonds""]","[""STEP 1: Heat the slow cooker to low. Put the garlic, ginger and onions in a small blender with a splash of water and whizz to a paste. Heat the oil in a frying pan over a medium-high heat and sear the chicken all over. Remove from the pan and set aside, then add the onion paste. Fry over a medium heat for 10 mins until lightly golden."", ""STEP 2: Stir in the tomato purée, spices, 1 tsp salt and the sugar, fry for 1 min until aromatic, then put the chicken back into the pan (with any resting juices) and add the stock. Stir and bring to a simmer, then spoon into the slow cooker. Cook on low for 5-6 hrs until the chicken is tender and cooked through."", ""STEP 3: Stir through the cream and the ground almonds and bubble for 10 mins to reduce, if needed. Scatter with flaked almonds and coriander, if using, then serve with rice and naans, if you like.""]","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/slow_cooker_chicken_korma-4560c0d.jpg?quality=90&webp=true&resize=500,454","From creamy chicken korma to Turkish breakfast eggs, dig into one of our best low-carb slow-cooker recipes – they all contain less than 40g of carbs per serving, guaranteed! Please note that serving suggestions are not included for low-carb recipes.",,,
3,Healthy-lasagne,Healthy Lasagne,"[""1 tbsp olive oil"", ""1 large onion (250g), finely chopped"", ""320g carrots, finely chopped"", ""2 celery sticks (140g), finely chopped"", ""2 bay leaves"", ""500g 5% beef mince"", ""3 large garlic cloves, finely grated"", ""400g can chopped tomatoes"", ""2 tbsp tomato purée"", ""1½ tsp vegetable bouillon powder"", ""400ml semi-skimmed milk"", ""30g wholemeal flour"", ""generous pinch of nutmeg"", ""6 sheets wholemeal lasagne (125g)"", ""25g finely grated parmesan""]","[""STEP 1: Heat the oven to 180C/160C fan/gas 4. Heat the oil in a large frying pan over a medium heat and fry the onion, carrots, celery and one of the bay leaves for 8-10 mins until the veg softens and is starting to turn golden. Add the mince and garlic, and stir-fry until the beef browns, about 5 mins. Tip in the tomatoes and a canful of water, the tomato purée and bouillon, bring to the boil, then cover and simmer for 20 mins, removing the lid after 10 mins to reduce the mixture slightly."", ""STEP 2: Meanwhile, pour the milk into a medium pan with the flour and whisk over a low heat until the mixture is lump-free. Add the second bay leaf and a good pinch of nutmeg, and continue to cook, whisking, for 8-10 mins until thick."", ""STEP 3: Remove the bay from the mince and white sauce, and discard. Spoon a third of the mince into the base of a 19 x 24cm baking dish and top with two lasagne sheets. Spoon over half of the remaining mince, then top with two more lasagne sheets, the rest of the mince and the remaining lasagne sheets. Spoon over the white sauce and sprinkle with the cheese. Bake for 40 mins until bubbling and golden.""]","https://images.immediate.co.uk/production/volatile/sites/30/2021/12/Lasagne-title-d363da1.jpg?quality=90&webp=true&resize=600,545","These filling family suppers are wholesome and tasty. We've got pasta dishes, curries, tagines and traybakes designed to feed many mouths",,,
4,Chicken-jalfrezi,Chicken Jalfrezi,"[""½ large onion, roughly chopped"", ""2 garlic cloves, chopped"", ""1 green chilli, finely chopped"", ""vegetable oil, for frying"", ""400g can plum tomatoes"", ""1 tbsp ground coriander"", ""1 tbsp ground cumin"", ""1 tsp turmeric""]","[""STEP 1: Take 2-3 diced chicken breasts and coat in 1 tsp cumin, 1 tsp coriander and 1 tsp turmeric then leave it to marinate in the fridge while you make the sauce."", ""STEP 2: To make the sauce, fry ½ roughly chopped large onion, 2 chopped garlic cloves and 1 finely chopped green chilli in a large pan with a little vegetable oil, for around 5 mins, until browned."", ""STEP 3: Add 300ml water to the onion mixture and simmer for around 20 minutes."", ""STEP 4: Meanwhile, put a 400g can plum tomatoes in a food processor and give it a good whizz (aim for a smooth consistency)."", ""STEP 5: Heat another large pan and gently fry 1 tbsp coriander, 1 tbsp cumin and 1 tsp turmeric in a splash of oil for about a minute. Add the tomatoes to this pan and simmer for around 10 minutes."", ""STEP 6: Next, whizz your onion mixture in the food processor and add it to the spiced tomato sauce. Season generously, stir, then simmer for 20 minutes. You can make large batches of this sauce and freeze it for later use."", ""STEP 7: Fry the marinated chicken in vegetable oil and stir continuously. After a few minutes, turn down the heat and add the remaining ½ sliced onion, 1 chopped red pepper and 2 finely chopped red chillies. Stir until the onions and pepper soften."", ""STEP 8: Add the sauce you prepared earlier to the cooked chicken and simmer for around 10-20 minutes, adding a splash of water if it gets too thick."", ""STEP 9: Just before you dish it up, stir in 2 tsp garam masala and handful of chopped coriander leaves. Serve with basmati rice or naan bread.""]","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chicken-jalfrezi--020ac52.jpg?quality=90&webp=true&resize=440,400","Instead of calling the Indian takeaway, make your own easy chicken jalfrezi. Our healthy curry recipe also has two of your 5-a-day and a good dose of vitamin C",,,
5,Sweet-potato-&-peanut-curry,Sweet Potato & Peanut Curry,"[""1 tbsp coconut oil"", ""1 onion, chopped"", ""2 garlic cloves, grated"", ""thumb-sized piece ginger, grated"", ""3 tbsp Thai red curry paste (check the label to make sure it’s vegetarian/ vegan)"", ""1 tbsp smooth peanut butter"", ""500g sweet potato, peeled and cut into chunks"", ""400ml can coconut milk"", ""200g bag spinach"", ""1 lime, juiced"", ""cooked rice, to serve (optional)"", ""dry roasted peanuts, to serve (optional)""]","[""STEP 1: Melt 1 tbsp coconut oil in a saucepan over a medium heat and soften 1 chopped onion for 5 mins. Add 2 grated garlic cloves and a grated thumb-sized piece of ginger, and cook for 1 min until fragrant."", ""STEP 2: Stir in 3 tbsp Thai red curry paste, 1 tbsp smooth peanut butter and 500g sweet potato, peeled and cut into chunks, then add 400ml coconut milk and 200ml water."", ""STEP 3: Bring to the boil, turn down the heat and simmer, uncovered, for 25-30 mins or until the sweet potato is soft."", ""STEP 4: Stir through 200g spinach and the juice of 1 lime, and season well. Serve with cooked rice, and if you want some crunch, sprinkle over a few dry roasted peanuts.""]","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/satay-sweet-potato-curry-062d21e.jpg?quality=90&webp=true&resize=500,454","Cook this tasty, budget-friendly vegan curry for an easy family dinner. With spinach and sweet potato, it boasts two of your five-a-day and it’s under 400 calories",,,
6,One-pot-garlic-chicken,One Pot Garlic Chicken,"[""4 medium chicken breasts, skin removed, sliced crosswise into thick strips"", ""75g plain flour"", ""2 tbsp olive or rapeseed oil"", ""50g unsalted butter"", ""10-15 small garlic cloves, or to taste"", ""250ml hot chicken stock"", ""100ml double cream"", ""30g Parmigiano-Reggiano, finely grated""]","[""STEP 1: Tip the chicken into a shallow bowl and sprinkle over the flour. Season well. Heat the oil in a large frying pan over a medium-high heat and fry the chicken, shaking off any excess flour first, for 1-2 mins until lightly golden all over. (You may need to do this in batches.)"", ""STEP 2: Reduce the heat to medium and add the butter. Peel as many garlic cloves as you prefer, and drop these into the pan. Cook for 5 mins until the garlic has turned lightly golden, stirring to keep the chicken from burning."", ""STEP 3: Pour in the stock and simmer for 10 mins until the garlic is tender. Add the cream and cheese and simmer for a further 5 mins until the sauce thickens slightly. Taste for seasoning and adjust as needed. Scatter with the chopped parsley, if using, and serve hot with rice and green beans, if you like.""]","https://images.immediate.co.uk/production/volatile/sites/30/2022/09/OnePotGarlicChicken-d0de695.jpg?quality=90&webp=true&resize=600,545","Save on the washing-up with this easy one-pot garlic chicken. Creamy and comforting, you can adjust the amount of garlic to suit your own tastes.",,,
7,Shakshuka,Shakshuka,"[""1 tbsp olive oil"", ""2 red onions, chopped"", ""1 red chilli, deseeded and finely chopped"", ""1 garlic clove, sliced"", ""small bunch coriander stalks and leaves chopped separately"", ""2 cans cherry tomatoes"", ""1 tsp caster sugar"", ""4 eggs""]","[""STEP 1: Heat the oil in a frying pan that has a lid, then soften the onions, chilli, garlic and coriander stalks for 5 mins until soft. Stir in the tomatoes and sugar, then bubble for 8-10 mins until thick. Can be frozen for 1 month."", ""STEP 2: Using the back of a large spoon, make 4 dips in the sauce, then crack an egg into each one. Put a lid on the pan, then cook over a low heat for 6-8 mins, until the eggs are done to your liking. Scatter with the coriander leaves and serve with crusty bread.""]","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-12141_11-fd804a3.jpg?quality=90&webp=true&resize=440,400","Make our easy shakshuka for a comforting brunch. Vary this dish by flavouring the simple tomato sauce with whatever you have to hand - curry powder, pesto or fresh herbs.",,,
8,Caponata-pasta,Caponata Pasta,"[""4 tbsp olive oil (or use the oil from your chargrilled veg, see below)"", ""1 large onion, finely chopped"", ""4 garlic cloves, finely sliced"", ""250g chargrilled Mediterranean veg (peppers and aubergines, if possible) from a jar, pot or deli counter, drained if in oil (you can use this oil in place of the olive oil) and roughly chopped"", ""400g can chopped tomatoes"", ""1 tbsp small capers"", ""2 tbsp raisins"", ""350g rigatoni, penne or another short pasta shape"", ""bunch basil leaves, picked"", ""parmesan (or vegetarian alternative), shaved, to serve""]","[""STEP 1: Heat the oil in a large pan and cook the onion for 8-10 mins until starting to caramelise (or for longer if you have time – the sweeter the better). Add the garlic for the final 2 mins of cooking time."", ""STEP 2: Tip in the mixed veg, tomatoes, capers and raisins. Season well and simmer, uncovered, for 10 mins, or until you have a rich sauce."", ""STEP 3: Meanwhile, boil the kettle. Pour the kettleful of water into a large pan with a little salt and bring back to the boil. Add the pasta and cook until tender with a little bite, then drain, reserving some of the pasta water. Tip the pasta into the sauce, adding a splash of pasta water if it needs loosening. Scatter with the basil leaves and parmesan, if you like, and serve straight from the pan""]","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/caponata-pasta-a0027c4.jpg?quality=90&webp=true&resize=440,400","Whip up our easy vegetarian caponata pasta in just 20 minutes. It's simple to make, budget-friendly and packs three of your five-a-day into one delicious meal.",,,
9,Vegetarian-ramen,Vegetarian Ramen,"[""2 garlic cloves"", ""thumb-sized piece ginger, sliced, plus a few slices cut into fine matchsticks to serve (optional)"", ""1½ tbsp white miso paste"", ""1 tbsp neri goma (white sesame paste) or tahini"", ""15g dried shiitake mushrooms"", ""1l good-quality vegan stock"", ""2 tbsp soy sauce"", ""200g firm tofu, cut into chunky cubes"", ""1 tbsp cornflour"", ""1 tbsp veg or sunflower oil"", ""100g (2 x nests) ramen or rice noodles"", ""1 head pak choi, quartered"", ""2 spring onions, finely sliced, white and green parts kept separate"", ""25g ready-to-eat beansprouts"", ""1 carrot, peeled and cut into fine matchsticks""]","[""STEP 1: Crush the garlic with the back of a big knife, then put it in a saucepan with the ginger, miso, neri goma, mushrooms, stock and soy. Bring to a gentle simmer, cover and bubble for 5 mins until the ginger is soft. Strain into a clean pan and discard everything left in the strainer."", ""STEP 2: Meanwhile, cook the tofu. Toss it in the cornflour and heat the oil in a frying pan. Fry for a few mins on each side, being careful as you turn it that it doesn’t fall apart. Cook the noodles for 1 min less than pack instructions, so they retain a little bite. Drain and leave in the pan with a little cooking water so they don’t stick together."", ""STEP 3: Add the pak choi and whites of the spring onions to the broth and gently reheat for 1-2 mins until the greens have just wilted."", ""STEP 4: Divide the noodles between two deep bowls, ladle over the broth and veg. Top with the tofu, beansprouts, carrot and ginger matchsticks, green parts of the spring onions and a drizzle of sesame oil, plus the other toppings, if you like.""]","https://images.immediate.co.uk/production/volatile/sites/30/2022/07/Vegetarian-ramen-0c0831e.jpg?quality=90&webp=true&resize=440,400","Rustle up this warming veggie ramen in just 15 minutes. Think of it as healthy fast food – it's low-fat, low-calorie and low-cost as well.",,,
10,Brown-butter-linguine,Brown Butter Linguine,"[""100g linguine (buy the best you can)"", ""25g butter"", ""½ slice white bread, toasted and chopped into very small pieces"", ""pinch chilli flakes"", ""1-2 tbsp grated Grana Padano or vegetarian alternative""]","[""STEP 1: Cook the pasta in salted boiling water until al dente, then drain, reserving a little of the cooking water."", ""STEP 2: Meanwhile, cook a little of the butter in a frying pan until it foams then fry the bread until it is golden brown all over. Tip into a bowl and wipe out the pan. Add the rest of the butter and heat it until it foams and starts to brown. Add the chilli flakes and plenty of black pepper and cook for 1 min."", ""STEP 3: Tip the pasta back into the pan along with a splash of the cooking water and the cheese and toss together thoroughly. Sprinkle on the fried bread and toss everything together again.""]","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/brown-butter-linguine-c900497.jpg?quality=90&webp=true&resize=440,400",Cook this simple brown butter linguine as a filling meal for one. It's a budget option and only takes 20 minutes to make – ideal for busy weeknights.,,,
